Threshold,DCs,Tasks,Batches,Method,AvgResponseTime
2,1,2000,250,SBDLB,2409899.20
2,2,2000,250,SBDLB,2310395.08
2,3,2000,250,SBDLB,2102430.52
2,4,2000,250,SBDLB,1965045.90
2,5,2000,250,SBDLB,1896812.04
2,6,2000,250,SBDLB,1713251.52
2,7,2000,250,SBDLB,1534655.24
2,8,2000,250,SBDLB,1284094.64
3,1,2000,250,SBDLB,3486532.95
3,2,2000,250,SBDLB,3136109.94
3,3,2000,250,SBDLB,2885174.89
3,4,2000,250,SBDLB,2443624.43
3,5,2000,250,SBDLB,2064484.96
3,6,2000,250,SBDLB,1504125.49
3,7,2000,250,SBDLB,1028841.03
3,8,2000,250,SBDLB,748669.38
4,1,2000,250,SBDLB,4400989.22
4,2,2000,250,SBDLB,4093275.65
4,3,2000,250,SBDLB,3362620.11
4,4,2000,250,SBDLB,2565413.60
4,5,2000,250,SBDLB,1313227.43
4,6,2000,250,SBDLB,1142646.25
4,7,2000,250,SBDLB,862854.32
4,8,2000,250,SBDLB,1389739.81
